"city_id","city","country_id","last_update"
66,"Belm",15,"2020-02-15 02:45:25-07"
67,"Benguela",4,"2020-02-15 02:45:25-07"
68,"Beni-Mellal",62,"2020-02-15 02:45:25-07"
69,"Benin City",69,"2020-02-15 02:45:25-07"
70,"Bergamo",49,"2020-02-15 02:45:25-07"
71,"Berhampore (Baharampur)",44,"2020-02-15 02:45:25-07"
72,"Bern",91,"2020-02-15 02:45:25-07"
73,"Bhavnagar",44,"2020-02-15 02:45:25-07"
74,"Bhilwara",44,"2020-02-15 02:45:25-07"
75,"Bhimavaram",44,"2020-02-15 02:45:25-07"
76,"Bhopal",44,"2020-02-15 02:45:25-07"
77,"Bhusawal",44,"2020-02-15 02:45:25-07"
78,"Bijapur",44,"2020-02-15 02:45:25-07"
79,"Bilbays",29,"2020-02-15 02:45:25-07"
80,"Binzhou",23,"2020-02-15 02:45:25-07"
81,"Birgunj",66,"2020-02-15 02:45:25-07"
82,"Bislig",75,"2020-02-15 02:45:25-07"
83,"Blumenau",15,"2020-02-15 02:45:25-07"
84,"Boa Vista",15,"2020-02-15 02:45:25-07"
85,"Boksburg",85,"2020-02-15 02:45:25-07"
86,"Botosani",78,"2020-02-15 02:45:25-07"
87,"Botshabelo",85,"2020-02-15 02:45:25-07"
88,"Bradford",102,"2020-02-15 02:45:25-07"
89,"Braslia",15,"2020-02-15 02:45:25-07"
90,"Bratislava",84,"2020-02-15 02:45:25-07"
91,"Brescia",49,"2020-02-15 02:45:25-07"
92,"Brest",34,"2020-02-15 02:45:25-07"
93,"Brindisi",49,"2020-02-15 02:45:25-07"
94,"Brockton",103,"2020-02-15 02:45:25-07"
95,"Bucuresti",78,"2020-02-15 02:45:25-07"
96,"Buenaventura",24,"2020-02-15 02:45:25-07"
97,"Bydgoszcz",76,"2020-02-15 02:45:25-07"
98,"Cabuyao",75,"2020-02-15 02:45:25-07"
99,"Callao",74,"2020-02-15 02:45:25-07"
100,"Cam Ranh",105,"2020-02-15 02:45:25-07"
101,"Cape Coral",103,"2020-02-15 02:45:25-07"
102,"Caracas",104,"2020-02-15 02:45:25-07"
103,"Carmen",60,"2020-02-15 02:45:25-07"
104,"Cavite",75,"2020-02-15 02:45:25-07"
105,"Cayenne",35,"2020-02-15 02:45:25-07"
106,"Celaya",60,"2020-02-15 02:45:25-07"
107,"Chandrapur",44,"2020-02-15 02:45:25-07"
108,"Changhwa",92,"2020-02-15 02:45:25-07"
109,"Changzhou",23,"2020-02-15 02:45:25-07"
110,"Chapra",44,"2020-02-15 02:45:25-07"
111,"Charlotte Amalie",106,"2020-02-15 02:45:25-07"
112,"Chatsworth",85,"2020-02-15 02:45:25-07"
113,"Cheju",86,"2020-02-15 02:45:25-07"
114,"Chiayi",92,"2020-02-15 02:45:25-07"
115,"Chisinau",61,"2020-02-15 02:45:25-07"
116,"Chungho",92,"2020-02-15 02:45:25-07"
117,"Cianjur",45,"2020-02-15 02:45:25-07"
118,"Ciomas",45,"2020-02-15 02:45:25-07"
119,"Ciparay",45,"2020-02-15 02:45:25-07"
120,"Citrus Heights",103,"2020-02-15 02:45:25-07"
121,"Citt del Vaticano",41,"2020-02-15 02:45:25-07"
122,"Ciudad del Este",73,"2020-02-15 02:45:25-07"
123,"Clarksville",103,"2020-02-15 02:45:25-07"
124,"Coacalco de Berriozbal",60,"2020-02-15 02:45:25-07"
125,"Coatzacoalcos",60,"2020-02-15 02:45:25-07"
126,"Compton",103,"2020-02-15 02:45:25-07"
127,"Coquimbo",22,"2020-02-15 02:45:25-07"
128,"Crdoba",6,"2020-02-15 02:45:25-07"
129,"Cuauhtmoc",60,"2020-02-15 02:45:25-07"
130,"Cuautla",60,"2020-02-15 02:45:25-07"
131,"Cuernavaca",60,"2020-02-15 02:45:25-07"
132,"Cuman",104,"2020-02-15 02:45:25-07"
133,"Czestochowa",76,"2020-02-15 02:45:25-07"
134,"Dadu",72,"2020-02-15 02:45:25-07"
135,"Dallas",103,"2020-02-15 02:45:25-07"
136,"Datong",23,"2020-02-15 02:45:25-07"
137,"Daugavpils",54,"2020-02-15 02:45:25-07"
138,"Davao",75,"2020-02-15 02:45:25-07"
139,"Daxian",23,"2020-02-15 02:45:25-07"
140,"Dayton",103,"2020-02-15 02:45:25-07"
141,"Deba Habe",69,"2020-02-15 02:45:25-07"
142,"Denizli",97,"2020-02-15 02:45:25-07"
143,"Dhaka",12,"2020-02-15 02:45:25-07"
144,"Dhule (Dhulia)",44,"2020-02-15 02:45:25-07"
145,"Dongying",23,"2020-02-15 02:45:25-07"
146,"Donostia-San Sebastin",87,"2020-02-15 02:45:25-07"
147,"Dos Quebradas",24,"2020-02-15 02:45:25-07"
148,"Duisburg",38,"2020-02-15 02:45:25-07"
149,"Dundee",102,"2020-02-15 02:45:25-07"
150,"Dzerzinsk",80,"2020-02-15 02:45:25-07"
151,"Ede",67,"2020-02-15 02:45:25-07"
152,"Effon-Alaiye",69,"2020-02-15 02:45:25-07"
153,"El Alto",14,"2020-02-15 02:45:25-07"
154,"El Fuerte",60,"2020-02-15 02:45:25-07"
155,"El Monte",103,"2020-02-15 02:45:25-07"
156,"Elista",80,"2020-02-15 02:45:25-07"
157,"Emeishan",23,"2020-02-15 02:45:25-07"
158,"Emmen",67,"2020-02-15 02:45:25-07"
159,"Enshi",23,"2020-02-15 02:45:25-07"
160,"Erlangen",38,"2020-02-15 02:45:25-07"
161,"Escobar",6,"2020-02-15 02:45:25-07"
162,"Esfahan",46,"2020-02-15 02:45:25-07"
163,"Eskisehir",97,"2020-02-15 02:45:25-07"
164,"Etawah",44,"2020-02-15 02:45:25-07"
165,"Ezeiza",6,"2020-02-15 02:45:25-07"
166,"Ezhou",23,"2020-02-15 02:45:25-07"
167,"Faaa",36,"2020-02-15 02:45:25-07"
168,"Fengshan",92,"2020-02-15 02:45:25-07"
169,"Firozabad",44,"2020-02-15 02:45:25-07"
170,"Florencia",24,"2020-02-15 02:45:25-07"
171,"Fontana",103,"2020-02-15 02:45:25-07"
172,"Fukuyama",50,"2020-02-15 02:45:25-07"
173,"Funafuti",99,"2020-02-15 02:45:25-07"
174,"Fuyu",23,"2020-02-15 02:45:25-07"
175,"Fuzhou",23,"2020-02-15 02:45:25-07"
176,"Gandhinagar",44,"2020-02-15 02:45:25-07"
177,"Garden Grove",103,"2020-02-15 02:45:25-07"
178,"Garland",103,"2020-02-15 02:45:25-07"
179,"Gatineau",20,"2020-02-15 02:45:25-07"
180,"Gaziantep",97,"2020-02-15 02:45:25-07"
181,"Gijn",87,"2020-02-15 02:45:25-07"
182,"Gingoog",75,"2020-02-15 02:45:25-07"
183,"Goinia",15,"2020-02-15 02:45:25-07"
184,"Gorontalo",45,"2020-02-15 02:45:25-07"
185,"Grand Prairie",103,"2020-02-15 02:45:25-07"
186,"Graz",9,"2020-02-15 02:45:25-07"
187,"Greensboro",103,"2020-02-15 02:45:25-07"
188,"Guadalajara",60,"2020-02-15 02:45:25-07"
189,"Guaruj",15,"2020-02-15 02:45:25-07"
190,"guas Lindas de Gois",15,"2020-02-15 02:45:25-07"
191,"Gulbarga",44,"2020-02-15 02:45:25-07"
192,"Hagonoy",75,"2020-02-15 02:45:25-07"
193,"Haining",23,"2020-02-15 02:45:25-07"
194,"Haiphong",105,"2020-02-15 02:45:25-07"
195,"Haldia",44,"2020-02-15 02:45:25-07"
196,"Halifax",20,"2020-02-15 02:45:25-07"
197,"Halisahar",44,"2020-02-15 02:45:25-07"
198,"Halle/Saale",38,"2020-02-15 02:45:25-07"
199,"Hami",23,"2020-02-15 02:45:25-07"
200,"Hamilton",68,"2020-02-15 02:45:25-07"
201,"Hanoi",105,"2020-02-15 02:45:25-07"
202,"Hidalgo",60,"2020-02-15 02:45:25-07"
203,"Higashiosaka",50,"2020-02-15 02:45:25-07"
204,"Hino",50,"2020-02-15 02:45:25-07"
205,"Hiroshima",50,"2020-02-15 02:45:25-07"
206,"Hodeida",107,"2020-02-15 02:45:25-07"
207,"Hohhot",23,"2020-02-15 02:45:25-07"
208,"Hoshiarpur",44,"2020-02-15 02:45:25-07"
209,"Hsichuh",92,"2020-02-15 02:45:25-07"
210,"Huaian",23,"2020-02-15 02:45:25-07"
211,"Hubli-Dharwad",44,"2020-02-15 02:45:25-07"
212,"Huejutla de Reyes",60,"2020-02-15 02:45:25-07"
213,"Huixquilucan",60,"2020-02-15 02:45:25-07"
214,"Hunuco",74,"2020-02-15 02:45:25-07"
215,"Ibirit",15,"2020-02-15 02:45:25-07"
216,"Idfu",29,"2020-02-15 02:45:25-07"
217,"Ife",69,"2020-02-15 02:45:25-07"
218,"Ikerre",69,"2020-02-15 02:45:25-07"
219,"Iligan",75,"2020-02-15 02:45:25-07"
220,"Ilorin",69,"2020-02-15 02:45:25-07"
221,"Imus",75,"2020-02-15 02:45:25-07"
222,"Inegl",97,"2020-02-15 02:45:25-07"
223,"Ipoh",59,"2020-02-15 02:45:25-07"
224,"Isesaki",50,"2020-02-15 02:45:25-07"
225,"Ivanovo",80,"2020-02-15 02:45:25-07"
226,"Iwaki",50,"2020-02-15 02:45:25-07"
227,"Iwakuni",50,"2020-02-15 02:45:25-07"
228,"Iwatsuki",50,"2020-02-15 02:45:25-07"
229,"Izumisano",50,"2020-02-15 02:45:25-07"
230,"Jaffna",88,"2020-02-15 02:45:25-07"
231,"Jaipur",44,"2020-02-15 02:45:25-07"
232,"Jakarta",45,"2020-02-15 02:45:25-07"
233,"Jalib al-Shuyukh",53,"2020-02-15 02:45:25-07"
234,"Jamalpur",12,"2020-02-15 02:45:25-07"
235,"Jaroslavl",80,"2020-02-15 02:45:25-07"
236,"Jastrzebie-Zdrj",76,"2020-02-15 02:45:25-07"
237,"Jedda",82,"2020-02-15 02:45:25-07"
238,"Jelets",80,"2020-02-15 02:45:25-07"
239,"Jhansi",44,"2020-02-15 02:45:25-07"
240,"Jinchang",23,"2020-02-15 02:45:25-07"
241,"Jining",23,"2020-02-15 02:45:25-07"
242,"Jinzhou",23,"2020-02-15 02:45:25-07"
243,"Jodhpur",44,"2020-02-15 02:45:25-07"
244,"Johannesburg",85,"2020-02-15 02:45:25-07"
245,"Joliet",103,"2020-02-15 02:45:25-07"
246,"Jos Azueta",60,"2020-02-15 02:45:25-07"
247,"Juazeiro do Norte",15,"2020-02-15 02:45:25-07"
248,"Juiz de Fora",15,"2020-02-15 02:45:25-07"
249,"Junan",23,"2020-02-15 02:45:25-07"
250,"Jurez",60,"2020-02-15 02:45:25-07"
251,"Kabul",1,"2020-02-15 02:45:25-07"
252,"Kaduna",69,"2020-02-15 02:45:25-07"
253,"Kakamigahara",50,"2020-02-15 02:45:25-07"
254,"Kaliningrad",80,"2020-02-15 02:45:25-07"
255,"Kalisz",76,"2020-02-15 02:45:25-07"
256,"Kamakura",50,"2020-02-15 02:45:25-07"
257,"Kamarhati",44,"2020-02-15 02:45:25-07"
258,"Kamjanets-Podilskyi",100,"2020-02-15 02:45:25-07"
259,"Kamyin",80,"2020-02-15 02:45:25-07"
260,"Kanazawa",50,"2020-02-15 02:45:25-07"
261,"Kanchrapara",44,"2020-02-15 02:45:25-07"
262,"Kansas City",103,"2020-02-15 02:45:25-07"
263,"Karnal",44,"2020-02-15 02:45:25-07"
264,"Katihar",44,"2020-02-15 02:45:25-07"
265,"Kermanshah",46,"2020-02-15 02:45:25-07"
266,"Kilis",97,"2020-02-15 02:45:25-07"
267,"Kimberley",85,"2020-02-15 02:45:25-07"
268,"Kimchon",86,"2020-02-15 02:45:25-07"
269,"Kingstown",81,"2020-02-15 02:45:25-07"
270,"Kirovo-Tepetsk",80,"2020-02-15 02:45:25-07"
271,"Kisumu",52,"2020-02-15 02:45:25-07"
272,"Kitwe",109,"2020-02-15 02:45:25-07"
273,"Klerksdorp",85,"2020-02-15 02:45:25-07"
274,"Kolpino",80,"2020-02-15 02:45:25-07"
275,"Konotop",100,"2020-02-15 02:45:25-07"
276,"Koriyama",50,"2020-02-15 02:45:25-07"
277,"Korla",23,"2020-02-15 02:45:25-07"
278,"Korolev",80,"2020-02-15 02:45:25-07"
279,"Kowloon and New Kowloon",42,"2020-02-15 02:45:25-07"
280,"Kragujevac",108,"2020-02-15 02:45:25-07"
281,"Ktahya",97,"2020-02-15 02:45:25-07"
282,"Kuching",59,"2020-02-15 02:45:25-07"
283,"Kumbakonam",44,"2020-02-15 02:45:25-07"
284,"Kurashiki",50,"2020-02-15 02:45:25-07"
285,"Kurgan",80,"2020-02-15 02:45:25-07"
286,"Kursk",80,"2020-02-15 02:45:25-07"
287,"Kuwana",50,"2020-02-15 02:45:25-07"
288,"La Paz",60,"2020-02-15 02:45:25-07"
289,"La Plata",6,"2020-02-15 02:45:25-07"
290,"La Romana",27,"2020-02-15 02:45:25-07"
291,"Laiwu",23,"2020-02-15 02:45:25-07"
292,"Lancaster",103,"2020-02-15 02:45:25-07"
293,"Laohekou",23,"2020-02-15 02:45:25-07"
294,"Lapu-Lapu",75,"2020-02-15 02:45:25-07"
295,"Laredo",103,"2020-02-15 02:45:25-07"
296,"Lausanne",91,"2020-02-15 02:45:25-07"
297,"Le Mans",34,"2020-02-15 02:45:25-07"
298,"Lengshuijiang",23,"2020-02-15 02:45:25-07"
299,"Leshan",23,"2020-02-15 02:45:25-07"
300,"Lethbridge",20,"2020-02-15 02:45:25-07"
301,"Lhokseumawe",45,"2020-02-15 02:45:25-07"
302,"Liaocheng",23,"2020-02-15 02:45:25-07"
303,"Liepaja",54,"2020-02-15 02:45:25-07"
304,"Lilongwe",58,"2020-02-15 02:45:25-07"
305,"Lima",74,"2020-02-15 02:45:25-07"
306,"Lincoln",103,"2020-02-15 02:45:25-07"
307,"Linz",9,"2020-02-15 02:45:25-07"
308,"Lipetsk",80,"2020-02-15 02:45:25-07"
309,"Livorno",49,"2020-02-15 02:45:25-07"
310,"Ljubertsy",80,"2020-02-15 02:45:25-07"
311,"Loja",28,"2020-02-15 02:45:25-07"
312,"London",102,"2020-02-15 02:45:25-07"
313,"London",20,"2020-02-15 02:45:25-07"
314,"Lublin",76,"2020-02-15 02:45:25-07"
315,"Lubumbashi",25,"2020-02-15 02:45:25-07"
316,"Lungtan",92,"2020-02-15 02:45:25-07"
317,"Luzinia",15,"2020-02-15 02:45:25-07"
318,"Madiun",45,"2020-02-15 02:45:25-07"
319,"Mahajanga",57,"2020-02-15 02:45:25-07"
320,"Maikop",80,"2020-02-15 02:45:25-07"
321,"Malm",90,"2020-02-15 02:45:25-07"
322,"Manchester",103,"2020-02-15 02:45:25-07"
323,"Mandaluyong",75,"2020-02-15 02:45:25-07"
324,"Mandi Bahauddin",72,"2020-02-15 02:45:25-07"
325,"Mannheim",38,"2020-02-15 02:45:25-07"
326,"Maracabo",104,"2020-02-15 02:45:25-07"
327,"Mardan",72,"2020-02-15 02:45:25-07"
328,"Maring",15,"2020-02-15 02:45:25-07"
329,"Masqat",71,"2020-02-15 02:45:25-07"
330,"Matamoros",60,"2020-02-15 02:45:25-07"
331,"Matsue",50,"2020-02-15 02:45:25-07"
332,"Meixian",23,"2020-02-15 02:45:25-07"
333,"Memphis",103,"2020-02-15 02:45:25-07"
334,"Merlo",6,"2020-02-15 02:45:25-07"
335,"Mexicali",60,"2020-02-15 02:45:25-07"
336,"Miraj",44,"2020-02-15 02:45:25-07"
337,"Mit Ghamr",29,"2020-02-15 02:45:25-07"
338,"Miyakonojo",50,"2020-02-15 02:45:25-07"
339,"Mogiljov",13,"2020-02-15 02:45:25-07"
340,"Molodetno",13,"2020-02-15 02:45:25-07"
341,"Monclova",60,"2020-02-15 02:45:25-07"
342,"Monywa",64,"2020-02-15 02:45:25-07"
343,"Moscow",80,"2020-02-15 02:45:25-07"
344,"Mosul",47,"2020-02-15 02:45:25-07"
345,"Mukateve",100,"2020-02-15 02:45:25-07"
346,"Munger (Monghyr)",44,"2020-02-15 02:45:25-07"
347,"Mwanza",93,"2020-02-15 02:45:25-07"
348,"Mwene-Ditu",25,"2020-02-15 02:45:25-07"
349,"Myingyan",64,"2020-02-15 02:45:25-07"
350,"Mysore",44,"2020-02-15 02:45:25-07"
351,"Naala-Porto",63,"2020-02-15 02:45:25-07"
352,"Nabereznyje Telny",80,"2020-02-15 02:45:25-07"
353,"Nador",62,"2020-02-15 02:45:25-07"
354,"Nagaon",44,"2020-02-15 02:45:25-07"
355,"Nagareyama",50,"2020-02-15 02:45:25-07"
356,"Najafabad",46,"2020-02-15 02:45:25-07"
357,"Naju",86,"2020-02-15 02:45:25-07"
358,"Nakhon Sawan",94,"2020-02-15 02:45:25-07"
359,"Nam Dinh",105,"2020-02-15 02:45:25-07"
360,"Namibe",4,"2020-02-15 02:45:25-07"
361,"Nantou",92,"2020-02-15 02:45:25-07"
362,"Nanyang",23,"2020-02-15 02:45:25-07"
363,"NDjamna",21,"2020-02-15 02:45:25-07"
364,"Newcastle",85,"2020-02-15 02:45:25-07"
365,"Nezahualcyotl",60,"2020-02-15 02:45:25-07"
366,"Nha Trang",105,"2020-02-15 02:45:25-07"
367,"Niznekamsk",80,"2020-02-15 02:45:25-07"
368,"Novi Sad",108,"2020-02-15 02:45:25-07"
369,"Novoterkassk",80,"2020-02-15 02:45:25-07"
370,"Nukualofa",95,"2020-02-15 02:45:25-07"
371,"Nuuk",40,"2020-02-15 02:45:25-07"
372,"Nyeri",52,"2020-02-15 02:45:25-07"
373,"Ocumare del Tuy",104,"2020-02-15 02:45:25-07"
374,"Ogbomosho",69,"2020-02-15 02:45:25-07"
375,"Okara",72,"2020-02-15 02:45:25-07"
376,"Okayama",50,"2020-02-15 02:45:25-07"
377,"Okinawa",50,"2020-02-15 02:45:25-07"
378,"Olomouc",26,"2020-02-15 02:45:25-07"
379,"Omdurman",89,"2020-02-15 02:45:25-07"
380,"Omiya",50,"2020-02-15 02:45:25-07"
381,"Ondo",69,"2020-02-15 02:45:25-07"
382,"Onomichi",50,"2020-02-15 02:45:25-07"
383,"Oshawa",20,"2020-02-15 02:45:25-07"
384,"Osmaniye",97,"2020-02-15 02:45:25-07"
385,"ostka",100,"2020-02-15 02:45:25-07"
386,"Otsu",50,"2020-02-15 02:45:25-07"
387,"Oulu",33,"2020-02-15 02:45:25-07"
388,"Ourense (Orense)",87,"2020-02-15 02:45:25-07"
389,"Owo",69,"2020-02-15 02:45:25-07"
390,"Oyo",69,"2020-02-15 02:45:25-07"
391,"Ozamis",75,"2020-02-15 02:45:25-07"
392,"Paarl",85,"2020-02-15 02:45:25-07"
393,"Pachuca de Soto",60,"2020-02-15 02:45:25-07"
394,"Pak Kret",94,"2020-02-15 02:45:25-07"
395,"Palghat (Palakkad)",44,"2020-02-15 02:45:25-07"
396,"Pangkal Pinang",45,"2020-02-15 02:45:25-07"
397,"Papeete",36,"2020-02-15 02:45:25-07"
398,"Parbhani",44,"2020-02-15 02:45:25-07"
399,"Pathankot",44,"2020-02-15 02:45:25-07"
400,"Patiala",44,"2020-02-15 02:45:25-07"
401,"Patras",39,"2020-02-15 02:45:25-07"
402,"Pavlodar",51,"2020-02-15 02:45:25-07"
403,"Pemalang",45,"2020-02-15 02:45:25-07"
404,"Peoria",103,"2020-02-15 02:45:25-07"
405,"Pereira",24,"2020-02-15 02:45:25-07"
406,"Phnom Penh",18,"2020-02-15 02:45:25-07"
407,"Pingxiang",23,"2020-02-15 02:45:25-07"
408,"Pjatigorsk",80,"2020-02-15 02:45:25-07"
409,"Plock",76,"2020-02-15 02:45:25-07"
410,"Po",15,"2020-02-15 02:45:25-07"
411,"Ponce",77,"2020-02-15 02:45:25-07"
412,"Pontianak",45,"2020-02-15 02:45:25-07"
413,"Poos de Caldas",15,"2020-02-15 02:45:25-07"
414,"Portoviejo",28,"2020-02-15 02:45:25-07"
415,"Probolinggo",45,"2020-02-15 02:45:25-07"
416,"Pudukkottai",44,"2020-02-15 02:45:25-07"
417,"Pune",44,"2020-02-15 02:45:25-07"
418,"Purnea (Purnia)",44,"2020-02-15 02:45:25-07"
419,"Purwakarta",45,"2020-02-15 02:45:25-07"
420,"Pyongyang",70,"2020-02-15 02:45:25-07"
421,"Qalyub",29,"2020-02-15 02:45:25-07"
422,"Qinhuangdao",23,"2020-02-15 02:45:25-07"
423,"Qomsheh",46,"2020-02-15 02:45:25-07"
424,"Quilmes",6,"2020-02-15 02:45:25-07"
425,"Rae Bareli",44,"2020-02-15 02:45:25-07"
426,"Rajkot",44,"2020-02-15 02:45:25-07"
427,"Rampur",44,"2020-02-15 02:45:25-07"
428,"Rancagua",22,"2020-02-15 02:45:25-07"
429,"Ranchi",44,"2020-02-15 02:45:25-07"
430,"Richmond Hill",20,"2020-02-15 02:45:25-07"
431,"Rio Claro",15,"2020-02-15 02:45:25-07"
432,"Rizhao",23,"2020-02-15 02:45:25-07"
433,"Roanoke",103,"2020-02-15 02:45:25-07"
434,"Robamba",28,"2020-02-15 02:45:25-07"
435,"Rockford",103,"2020-02-15 02:45:25-07"
436,"Ruse",17,"2020-02-15 02:45:25-07"
437,"Rustenburg",85,"2020-02-15 02:45:25-07"
438,"s-Hertogenbosch",67,"2020-02-15 02:45:25-07"
439,"Saarbrcken",38,"2020-02-15 02:45:25-07"
440,"Sagamihara",50,"2020-02-15 02:45:25-07"
441,"Saint Louis",103,"2020-02-15 02:45:25-07"
442,"Saint-Denis",79,"2020-02-15 02:45:25-07"
443,"Sal",62,"2020-02-15 02:45:25-07"
444,"Salala",71,"2020-02-15 02:45:25-07"
445,"Salamanca",60,"2020-02-15 02:45:25-07"
446,"Salinas",103,"2020-02-15 02:45:25-07"
447,"Salzburg",9,"2020-02-15 02:45:25-07"
448,"Sambhal",44,"2020-02-15 02:45:25-07"
449,"San Bernardino",103,"2020-02-15 02:45:25-07"
450,"San Felipe de Puerto Plata",27,"2020-02-15 02:45:25-07"
451,"San Felipe del Progreso",60,"2020-02-15 02:45:25-07"
452,"San Juan Bautista Tuxtepec",60,"2020-02-15 02:45:25-07"
453,"San Lorenzo",73,"2020-02-15 02:45:25-07"
454,"San Miguel de Tucumn",6,"2020-02-15 02:45:25-07"
455,"Sanaa",107,"2020-02-15 02:45:25-07"
456,"Santa Brbara dOeste",15,"2020-02-15 02:45:25-07"
457,"Santa F",6,"2020-02-15 02:45:25-07"
458,"Santa Rosa",75,"2020-02-15 02:45:25-07"
459,"Santiago de Compostela",87,"2020-02-15 02:45:25-07"
460,"Santiago de los Caballeros",27,"2020-02-15 02:45:25-07"
461,"Santo Andr",15,"2020-02-15 02:45:25-07"
462,"Sanya",23,"2020-02-15 02:45:25-07"
463,"Sasebo",50,"2020-02-15 02:45:25-07"
464,"Satna",44,"2020-02-15 02:45:25-07"
465,"Sawhaj",29,"2020-02-15 02:45:25-07"
466,"Serpuhov",80,"2020-02-15 02:45:25-07"
467,"Shahr-e Kord",46,"2020-02-15 02:45:25-07"
468,"Shanwei",23,"2020-02-15 02:45:25-07"
469,"Shaoguan",23,"2020-02-15 02:45:25-07"
470,"Sharja",101,"2020-02-15 02:45:25-07"
471,"Shenzhen",23,"2020-02-15 02:45:25-07"
472,"Shikarpur",72,"2020-02-15 02:45:25-07"
473,"Shimoga",44,"2020-02-15 02:45:25-07"
474,"Shimonoseki",50,"2020-02-15 02:45:25-07"
475,"Shivapuri",44,"2020-02-15 02:45:25-07"
476,"Shubra al-Khayma",29,"2020-02-15 02:45:25-07"
477,"Siegen",38,"2020-02-15 02:45:25-07"
478,"Siliguri (Shiliguri)",44,"2020-02-15 02:45:25-07"
479,"Simferopol",100,"2020-02-15 02:45:25-07"
480,"Sincelejo",24,"2020-02-15 02:45:25-07"
481,"Sirjan",46,"2020-02-15 02:45:25-07"
482,"Sivas",97,"2020-02-15 02:45:25-07"
483,"Skikda",2,"2020-02-15 02:45:25-07"
484,"Smolensk",80,"2020-02-15 02:45:25-07"
485,"So Bernardo do Campo",15,"2020-02-15 02:45:25-07"
486,"So Leopoldo",15,"2020-02-15 02:45:25-07"
487,"Sogamoso",24,"2020-02-15 02:45:25-07"
488,"Sokoto",69,"2020-02-15 02:45:25-07"
489,"Songkhla",94,"2020-02-15 02:45:25-07"
