"payment_id","customer_id","staff_id","rental_id","amount","payment_date"
16136,309,2,218,"6.99","2020-01-26 00:55:35.996577-07"
16137,309,2,723,"0.99","2020-01-28 21:03:10.996577-07"
16138,310,2,104,"0.99","2020-01-25 09:14:59.996577-07"
16139,311,2,274,"5.99","2020-01-26 08:17:17.996577-07"
16140,311,2,544,"6.99","2020-01-27 22:31:26.996577-07"
16141,311,1,952,"2.99","2020-01-30 07:56:33.996577-07"
16142,311,2,990,"3.99","2020-01-30 14:53:40.996577-07"
16143,311,2,1128,"6.99","2020-01-31 09:17:52.996577-07"
16144,312,2,229,"4.99","2020-01-26 02:47:46.996577-07"
16145,312,1,530,"0.99","2020-01-27 20:41:27.996577-07"
16146,312,2,1049,"4.99","2020-01-30 22:25:30.996577-07"
16147,312,2,1079,"6.99","2020-01-31 02:16:43.996577-07"
16148,313,2,669,"4.99","2020-01-28 13:31:51.996577-07"
16149,313,2,712,"2.99","2020-01-28 19:30:50.996577-07"
16150,313,2,781,"0.99","2020-01-29 05:52:24.996577-07"
16151,313,2,843,"0.99","2020-01-29 16:12:50.996577-07"
16152,314,1,80,"5.99","2020-01-25 03:40:33.996577-07"
16153,314,1,440,"4.99","2020-01-27 09:29:01.996577-07"
16154,315,1,537,"8.99","2020-01-27 21:49:21.996577-07"
16155,315,1,551,"4.99","2020-01-27 23:12:44.996577-07"
16156,316,1,16,"4.99","2020-01-24 16:11:37.996577-07"
16157,316,1,644,"8.99","2020-01-28 10:27:38.996577-07"
16158,316,1,1065,"1.99","2020-01-31 00:23:22.996577-07"
16159,317,1,107,"6.99","2020-01-25 09:56:35.996577-07"
16160,318,1,224,"9.99","2020-01-26 01:46:53.996577-07"
16161,319,1,15,"9.99","2020-01-24 16:07:48.996577-07"
16162,319,1,149,"3.99","2020-01-25 15:56:31.996577-07"
16163,319,1,439,"2.99","2020-01-27 09:23:14.996577-07"
16164,321,2,200,"4.99","2020-01-25 22:40:47.996577-07"
16165,321,1,620,"5.99","2020-01-28 07:23:11.996577-07"
16166,321,2,818,"4.99","2020-01-29 12:16:19.996577-07"
16167,322,2,166,"0.99","2020-01-25 18:17:37.996577-07"
16168,322,1,269,"4.99","2020-01-26 07:48:12.996577-07"
16169,323,1,58,"4.99","2020-01-25 00:21:40.996577-07"
16170,323,2,729,"2.99","2020-01-28 22:03:39.996577-07"
16171,323,1,878,"5.99","2020-01-29 21:17:39.996577-07"
16172,324,2,563,"3.99","2020-01-28 00:39:15.996577-07"
16173,325,1,131,"5.99","2020-01-25 13:11:12.996577-07"
16174,326,1,875,"6.99","2020-01-29 21:06:50.996577-07"
16175,326,2,981,"4.99","2020-01-30 13:21:08.996577-07"
16176,326,2,1149,"3.99","2020-01-31 12:31:43.996577-07"
16177,327,1,653,"6.99","2020-01-28 11:40:46.996577-07"
16178,328,2,862,"2.99","2020-01-29 18:37:37.996577-07"
16179,330,1,704,"3.99","2020-01-28 18:13:09.996577-07"
16180,330,2,967,"7.99","2020-01-30 10:40:32.996577-07"
16181,331,2,87,"0.99","2020-01-25 05:21:09.996577-07"
16182,331,1,996,"2.99","2020-01-30 15:34:46.996577-07"
16183,332,2,600,"3.99","2020-01-28 05:36:45.996577-07"
16184,332,1,1000,"6.99","2020-01-30 15:54:22.996577-07"
16185,333,1,4,"4.99","2020-01-24 14:33:07.996577-07"
16186,334,1,13,"6.99","2020-01-24 15:51:21.996577-07"
16187,334,1,431,"8.99","2020-01-27 07:59:31.996577-07"
16188,337,1,374,"6.99","2020-01-26 23:54:56.996577-07"
16189,337,1,572,"4.99","2020-01-28 01:58:39.996577-07"
16190,337,1,839,"8.99","2020-01-29 15:56:38.996577-07"
16191,338,1,675,"0.99","2020-01-28 13:51:10.996577-07"
16192,339,1,876,"5.99","2020-01-29 21:09:48.996577-07"
16193,343,2,102,"3.99","2020-01-25 08:50:36.996577-07"
16194,343,1,455,"3.99","2020-01-27 11:11:55.996577-07"
16195,344,2,157,"2.99","2020-01-25 16:53:47.996577-07"
16196,344,2,813,"5.99","2020-01-29 11:43:00.996577-07"
16197,345,1,206,"0.99","2020-01-25 23:30:20.996577-07"
16198,345,1,363,"0.99","2020-01-26 22:42:26.996577-07"
16199,346,1,65,"4.99","2020-01-25 01:00:29.996577-07"
16200,346,1,810,"4.99","2020-01-29 10:40:30.996577-07"
16201,348,2,153,"0.99","2020-01-25 16:16:13.996577-07"
16202,348,2,821,"0.99","2020-01-29 12:59:38.996577-07"
16203,349,1,890,"4.99","2020-01-29 23:11:30.996577-07"
16204,350,1,24,"4.99","2020-01-24 18:21:28.996577-07"
16205,350,1,802,"4.99","2020-01-29 09:07:25.996577-07"
16206,351,1,1137,"1.99","2020-01-31 10:48:40.996577-07"
16207,352,1,784,"2.99","2020-01-29 06:12:48.996577-07"
16208,353,2,1103,"6.99","2020-01-31 05:52:44.996577-07"
16209,354,1,140,"0.99","2020-01-25 15:02:48.996577-07"
16210,354,2,158,"1.99","2020-01-25 16:55:37.996577-07"
16211,354,2,402,"0.99","2020-01-27 04:45:44.996577-07"
16212,355,1,1110,"3.99","2020-01-31 06:51:17.996577-07"
16213,356,2,1088,"4.99","2020-01-31 03:03:39.996577-07"
16214,357,1,144,"2.99","2020-01-25 15:18:22.996577-07"
16215,357,1,824,"4.99","2020-01-29 13:13:58.996577-07"
16216,357,2,945,"0.99","2020-01-30 07:01:43.996577-07"
16217,358,2,858,"4.99","2020-01-29 17:38:58.996577-07"
16218,359,1,284,"8.99","2020-01-26 10:50:10.996577-07"
16219,359,2,392,"2.99","2020-01-27 02:43:08.996577-07"
16220,359,1,528,"3.99","2020-01-27 19:58:31.996577-07"
16221,360,1,633,"0.99","2020-01-28 09:06:25.996577-07"
16222,360,2,777,"4.99","2020-01-29 05:36:24.996577-07"
16223,361,1,368,"5.99","2020-01-26 23:10:55.996577-07"
16224,361,2,1120,"4.99","2020-01-31 08:05:40.996577-07"
16225,362,2,1035,"4.99","2020-01-30 20:29:35.996577-07"
16226,363,1,733,"3.99","2020-01-28 23:03:47.996577-07"
16227,364,1,462,"5.99","2020-01-27 11:39:02.996577-07"
16228,365,2,120,"5.99","2020-01-25 11:06:13.996577-07"
16229,365,1,231,"4.99","2020-01-26 03:00:25.996577-07"
16230,366,2,911,"6.99","2020-01-30 02:18:48.996577-07"
16231,367,1,939,"0.99","2020-01-30 06:18:00.996577-07"
16232,367,1,1089,"2.99","2020-01-31 03:06:55.996577-07"
16233,368,1,64,"5.99","2020-01-25 00:49:55.996577-07"
16234,368,1,125,"5.99","2020-01-25 12:17:16.996577-07"
16235,368,1,836,"2.99","2020-01-29 15:25:08.996577-07"
16236,368,1,949,"2.99","2020-01-30 07:19:05.996577-07"
16237,369,1,31,"4.99","2020-01-24 19:33:43.996577-07"
16238,369,1,294,"4.99","2020-01-26 11:58:23.996577-07"
16239,369,2,854,"0.99","2020-01-29 17:24:37.996577-07"
16240,369,2,913,"7.99","2020-01-30 02:33:24.996577-07"
16241,371,1,26,"3.99","2020-01-24 19:05:16.996577-07"
16242,371,2,286,"6.99","2020-01-26 11:13:17.996577-07"
16243,371,2,381,"4.99","2020-01-27 01:11:51.996577-07"
16244,371,1,384,"5.99","2020-01-27 01:46:46.996577-07"
16245,371,1,825,"0.99","2020-01-29 13:18:07.996577-07"
16246,371,1,829,"2.99","2020-01-29 13:45:08.996577-07"
16247,372,1,617,"2.99","2020-01-28 07:17:40.996577-07"
16248,372,1,638,"2.99","2020-01-28 09:53:09.996577-07"
16249,373,2,257,"4.99","2020-01-26 06:55:31.996577-07"
16250,374,1,521,"0.99","2020-01-27 19:00:48.996577-07"
16251,374,2,910,"2.99","2020-01-30 02:14:42.996577-07"
16252,374,2,919,"0.99","2020-01-30 03:03:32.996577-07"
16253,375,2,307,"8.99","2020-01-26 13:16:39.996577-07"
16254,375,1,412,"4.99","2020-01-27 05:45:49.996577-07"
16255,375,2,749,"4.99","2020-01-29 01:01:59.996577-07"
16256,375,1,873,"2.99","2020-01-29 20:43:46.996577-07"
16257,376,1,554,"0.99","2020-01-27 23:51:42.996577-07"
16258,378,1,347,"0.99","2020-01-26 20:08:59.996577-07"
16259,379,2,209,"4.99","2020-01-25 23:42:27.996577-07"
16260,379,1,863,"4.99","2020-01-29 18:43:25.996577-07"
16261,380,1,847,"3.99","2020-01-29 16:46:41.996577-07"
16262,381,2,169,"0.99","2020-01-25 18:37:56.996577-07"
16263,381,2,406,"2.99","2020-01-27 05:15:12.996577-07"
16264,381,1,835,"2.99","2020-01-29 15:05:26.996577-07"
16265,382,2,356,"2.99","2020-01-26 22:00:56.996577-07"
16266,382,1,522,"2.99","2020-01-27 19:01:46.996577-07"
16267,383,2,63,"0.99","2020-01-25 00:47:42.996577-07"
16268,383,1,766,"8.99","2020-01-29 03:15:28.996577-07"
16269,384,2,103,"4.99","2020-01-25 08:59:08.996577-07"
16270,384,2,279,"2.99","2020-01-26 09:31:16.996577-07"
16271,384,1,898,"0.99","2020-01-30 00:54:45.996577-07"
16272,384,2,1013,"2.99","2020-01-30 18:05:26.996577-07"
16273,385,1,917,"2.99","2020-01-30 02:55:32.996577-07"
16274,385,2,1038,"4.99","2020-01-30 20:52:13.996577-07"
16275,386,1,583,"7.99","2020-01-28 03:17:21.996577-07"
16276,387,2,302,"4.99","2020-01-26 12:42:12.996577-07"
16277,387,1,697,"7.99","2020-01-28 17:32:30.996577-07"
16278,387,1,841,"4.99","2020-01-29 15:59:43.996577-07"
16279,387,1,1127,"3.99","2020-01-31 09:14:15.996577-07"
16280,388,2,21,"4.99","2020-01-24 17:28:12.996577-07"
16281,388,2,411,"4.99","2020-01-27 05:42:40.996577-07"
16282,389,1,998,"4.99","2020-01-30 15:45:23.996577-07"
16283,390,1,254,"4.99","2020-01-26 06:12:14.996577-07"
16284,390,2,912,"4.99","2020-01-30 02:26:59.996577-07"
16285,391,2,73,"4.99","2020-01-25 02:28:33.996577-07"
16286,391,1,210,"2.99","2020-01-25 23:42:41.996577-07"
16287,391,1,317,"5.99","2020-01-26 14:52:22.996577-07"
16288,391,2,870,"2.99","2020-01-29 19:54:13.996577-07"
16289,391,1,891,"7.99","2020-01-29 23:11:38.996577-07"
16290,393,1,599,"4.99","2020-01-28 05:34:23.996577-07"
16291,393,2,886,"0.99","2020-01-29 22:23:17.996577-07"
16292,394,1,213,"3.99","2020-01-26 00:12:34.996577-07"
16293,394,1,977,"2.99","2020-01-30 12:50:52.996577-07"
16294,396,2,641,"5.99","2020-01-28 10:14:13.996577-07"
16295,397,2,1002,"0.99","2020-01-30 16:16:22.996577-07"
16296,398,1,486,"4.99","2020-01-27 15:19:38.996577-07"
16297,399,2,10,"5.99","2020-01-24 15:30:47.996577-07"
16298,399,2,694,"6.99","2020-01-28 17:18:09.996577-07"
16299,399,2,883,"4.99","2020-01-29 21:49:31.996577-07"
16300,400,1,95,"3.99","2020-01-25 07:41:18.996577-07"
16301,400,2,171,"6.99","2020-01-25 18:42:41.996577-07"
16302,400,2,516,"1.99","2020-01-27 18:40:13.996577-07"
16303,400,2,894,"5.99","2020-01-29 23:59:57.996577-07"
16304,401,2,167,"4.99","2020-01-25 18:18:57.996577-07"
16305,401,2,446,"4.99","2020-01-27 10:17:07.996577-07"
16306,401,2,811,"1.99","2020-01-29 10:59:08.996577-07"
16307,402,2,801,"1.99","2020-01-29 09:04:16.996577-07"
16308,403,1,442,"2.99","2020-01-27 09:40:39.996577-07"
16309,403,1,517,"0.99","2020-01-27 18:46:23.996577-07"
16310,404,2,1081,"5.99","2020-01-31 02:24:58.996577-07"
16311,405,1,121,"2.99","2020-01-25 11:09:55.996577-07"
16312,405,2,770,"4.99","2020-01-29 04:25:16.996577-07"
16313,406,1,855,"0.99","2020-01-29 17:28:54.996577-07"
16314,407,1,619,"7.99","2020-01-28 07:20:52.996577-07"
16315,408,2,3,"3.99","2020-01-24 14:32:05.996577-07"
16316,408,2,59,"5.99","2020-01-25 00:25:08.996577-07"
16317,408,1,526,"2.99","2020-01-27 19:56:03.996577-07"
16318,409,1,310,"6.99","2020-01-26 14:09:33.996577-07"
16319,411,2,686,"4.99","2020-01-28 15:55:36.996577-07"
16320,411,2,972,"1.99","2020-01-30 11:49:33.996577-07"
16321,412,2,191,"0.99","2020-01-25 21:42:32.996577-07"
16322,412,1,333,"4.99","2020-01-26 18:20:47.996577-07"
16323,412,1,717,"0.99","2020-01-28 20:06:10.996577-07"
16324,412,2,1043,"3.99","2020-01-30 21:40:06.996577-07"
16325,413,1,40,"4.99","2020-01-24 20:37:30.996577-07"
16326,413,1,999,"4.99","2020-01-30 15:53:36.996577-07"
16327,414,1,85,"4.99","2020-01-25 04:34:00.996577-07"
16328,414,1,261,"3.99","2020-01-26 07:12:49.996577-07"
16329,415,2,665,"4.99","2020-01-28 13:07:05.996577-07"
16330,416,2,253,"0.99","2020-01-26 06:11:40.996577-07"
16331,416,2,724,"3.99","2020-01-28 21:21:49.996577-07"
16332,416,2,1031,"2.99","2020-01-30 19:51:27.996577-07"
16333,417,1,267,"4.99","2020-01-26 07:44:47.996577-07"
16334,417,2,630,"8.99","2020-01-28 08:53:17.996577-07"
16335,417,2,833,"4.99","2020-01-29 14:50:22.996577-07"
16336,419,1,62,"2.99","2020-01-25 00:47:18.996577-07"
16337,420,2,744,"4.99","2020-01-29 00:41:34.996577-07"
16338,421,1,507,"0.99","2020-01-27 17:59:45.996577-07"
16339,421,1,931,"0.99","2020-01-30 04:21:27.996577-07"
16340,422,1,398,"0.99","2020-01-27 04:12:29.996577-07"
16341,424,2,403,"0.99","2020-01-27 04:57:18.996577-07"
16342,425,2,1098,"5.99","2020-01-31 05:20:14.996577-07"
16343,426,2,604,"0.99","2020-01-28 06:05:33.996577-07"
16344,427,2,82,"6.99","2020-01-25 03:46:12.996577-07"
16345,428,2,634,"4.99","2020-01-28 09:09:01.996577-07"
16346,429,2,150,"5.99","2020-01-25 15:57:05.996577-07"
16347,429,2,290,"2.99","2020-01-26 11:36:59.996577-07"
16348,429,2,601,"7.99","2020-01-28 05:36:48.996577-07"
16349,429,2,799,"4.99","2020-01-29 08:53:14.996577-07"
16350,429,2,844,"4.99","2020-01-29 16:26:46.996577-07"
16351,430,2,30,"2.99","2020-01-24 19:29:58.996577-07"
16352,430,1,364,"4.99","2020-01-26 22:48:38.996577-07"
16353,431,2,1126,"2.99","2020-01-31 08:56:11.996577-07"
16354,432,2,326,"7.99","2020-01-26 16:38:37.996577-07"
16355,432,1,550,"5.99","2020-01-27 23:07:42.996577-07"
16356,432,1,897,"8.99","2020-01-30 00:38:27.996577-07"
16357,433,2,146,"8.99","2020-01-25 15:35:37.996577-07"
16358,433,1,691,"10.99","2020-01-28 16:29:52.996577-07"
16359,434,2,508,"5.99","2020-01-27 18:09:16.996577-07"
16360,435,1,757,"7.99","2020-01-29 01:58:13.996577-07"
16361,435,1,806,"4.99","2020-01-29 09:59:56.996577-07"
16362,436,1,45,"7.99","2020-01-24 21:28:05.996577-07"
16363,436,1,256,"3.99","2020-01-26 06:49:24.996577-07"
16364,436,1,848,"5.99","2020-01-29 16:48:19.996577-07"
16365,437,1,192,"2.99","2020-01-25 21:49:03.996577-07"
16366,437,2,656,"4.99","2020-01-28 11:46:50.996577-07"
16367,437,1,666,"5.99","2020-01-28 13:17:17.996577-07"
16368,438,2,23,"4.99","2020-01-24 18:08:47.996577-07"
16369,438,2,1036,"0.99","2020-01-30 20:49:36.996577-07"
16370,438,1,1138,"6.99","2020-01-31 10:58:53.996577-07"
16371,439,1,126,"2.99","2020-01-25 12:36:25.996577-07"
16372,439,2,367,"0.99","2020-01-26 23:05:28.996577-07"
16373,439,1,786,"9.99","2020-01-29 06:45:54.996577-07"
16374,440,2,957,"4.99","2020-01-30 09:21:55.996577-07"
16375,441,1,823,"4.99","2020-01-29 13:08:03.996577-07"
16376,442,2,466,"0.99","2020-01-27 12:25:33.996577-07"
16377,442,2,558,"6.99","2020-01-28 00:07:09.996577-07"
16378,442,1,632,"5.99","2020-01-28 09:06:16.996577-07"
16379,443,2,1068,"4.99","2020-01-31 01:00:41.996577-07"
16380,444,1,201,"8.99","2020-01-25 22:42:11.996577-07"
16381,444,1,557,"0.99","2020-01-28 00:04:48.996577-07"
16382,445,1,481,"2.99","2020-01-27 14:17:53.996577-07"
16383,445,1,960,"2.99","2020-01-30 09:41:49.996577-07"
16384,446,2,14,"0.99","2020-01-24 15:59:41.996577-07"
16385,446,1,236,"0.99","2020-01-26 03:22:15.996577-07"
16386,446,1,355,"4.99","2020-01-26 21:43:59.996577-07"
16387,447,1,461,"2.99","2020-01-27 11:37:21.996577-07"
16388,447,2,732,"0.99","2020-01-28 23:01:17.996577-07"
16389,448,1,299,"4.99","2020-01-26 12:24:02.996577-07"
16390,448,2,1123,"2.99","2020-01-31 08:17:09.996577-07"
16391,449,2,263,"4.99","2020-01-26 07:16:06.996577-07"
16392,449,2,325,"5.99","2020-01-26 16:38:21.996577-07"
16393,449,1,849,"7.99","2020-01-29 16:51:33.996577-07"
16394,450,2,548,"3.99","2020-01-27 23:03:22.996577-07"
16395,451,2,77,"0.99","2020-01-25 03:00:25.996577-07"
16396,451,2,328,"2.99","2020-01-26 16:57:57.996577-07"
16397,451,2,1113,"2.99","2020-01-31 07:27:10.996577-07"
16398,452,1,354,"2.99","2020-01-26 21:40:52.996577-07"
16399,452,2,714,"2.99","2020-01-28 19:43:47.996577-07"
16400,452,1,726,"1.99","2020-01-28 21:33:55.996577-07"
16401,454,1,735,"7.99","2020-01-28 23:36:39.996577-07"
16402,455,2,115,"0.99","2020-01-25 10:41:51.996577-07"
16403,455,2,343,"0.99","2020-01-26 19:42:07.996577-07"
16404,456,2,19,"4.99","2020-01-24 16:45:50.996577-07"
16405,457,2,1024,"7.99","2020-01-30 18:58:45.996577-07"
16406,459,2,2,"2.99","2020-01-24 14:22:59.996577-07"
16407,460,1,223,"4.99","2020-01-26 01:43:49.996577-07"
16408,460,2,298,"0.99","2020-01-26 12:20:52.996577-07"
16409,460,1,880,"0.99","2020-01-29 21:40:59.996577-07"
16410,460,2,1064,"4.99","2020-01-31 00:18:33.996577-07"
16411,461,1,684,"6.99","2020-01-28 15:41:41.996577-07"
16412,462,2,156,"2.99","2020-01-25 16:47:31.996577-07"
16413,462,2,590,"3.99","2020-01-28 04:35:16.996577-07"
16414,463,1,560,"1.99","2020-01-28 00:21:28.996577-07"
16415,464,1,305,"3.99","2020-01-26 12:50:33.996577-07"
16416,464,2,373,"1.99","2020-01-26 23:44:51.996577-07"
16417,465,2,640,"0.99","2020-01-28 10:11:52.996577-07"
16418,466,2,1104,"2.99","2020-01-31 05:58:27.996577-07"
16419,467,2,225,"4.99","2020-01-26 01:56:16.996577-07"
16420,468,2,101,"6.99","2020-01-25 08:45:30.996577-07"
16421,468,1,186,"4.99","2020-01-25 21:01:18.996577-07"
16422,468,2,296,"6.99","2020-01-26 12:03:45.996577-07"
16423,468,2,459,"0.99","2020-01-27 11:28:30.996577-07"
16424,468,1,673,"0.99","2020-01-28 13:35:56.996577-07"
16425,469,1,168,"0.99","2020-01-25 18:36:09.996577-07"
16426,469,2,506,"7.99","2020-01-27 17:37:45.996577-07"
16427,469,2,529,"4.99","2020-01-27 20:02:43.996577-07"
16428,469,2,936,"1.99","2020-01-30 05:21:15.996577-07"
16429,469,1,1119,"2.99","2020-01-31 08:02:53.996577-07"
16430,470,2,60,"2.99","2020-01-25 00:26:51.996577-07"
16431,471,1,616,"2.99","2020-01-28 07:14:05.996577-07"
16432,472,2,142,"0.99","2020-01-25 15:12:13.996577-07"
16433,472,2,249,"2.99","2020-01-26 05:47:35.996577-07"
16434,472,2,800,"0.99","2020-01-29 08:56:38.996577-07"
16435,472,2,994,"4.99","2020-01-30 15:24:02.996577-07"
16436,473,1,348,"4.99","2020-01-26 20:19:22.996577-07"
16437,473,2,942,"2.99","2020-01-30 06:34:13.996577-07"
16438,473,2,973,"3.99","2020-01-30 11:56:11.996577-07"
16439,474,1,816,"7.99","2020-01-29 11:55:05.996577-07"
16440,475,2,417,"4.99","2020-01-27 06:35:53.996577-07"
16441,475,1,702,"0.99","2020-01-28 17:55:56.996577-07"
16442,476,1,489,"4.99","2020-01-27 15:37:38.996577-07"
16443,476,1,771,"2.99","2020-01-29 04:27:40.996577-07"
16444,477,1,882,"2.99","2020-01-29 21:44:32.996577-07"
16445,479,2,132,"3.99","2020-01-25 13:15:20.996577-07"
16446,479,1,709,"7.99","2020-01-28 19:16:27.996577-07"
16447,480,1,518,"0.99","2020-01-27 18:46:28.996577-07"
16448,480,1,720,"6.99","2020-01-28 20:45:56.996577-07"
16449,480,2,822,"9.99","2020-01-29 13:04:26.996577-07"
16450,481,2,1109,"5.99","2020-01-31 06:40:41.996577-07"
16451,482,1,259,"8.99","2020-01-26 07:01:12.996577-07"
16452,482,2,680,"2.99","2020-01-28 14:55:52.996577-07"
16453,482,2,879,"0.99","2020-01-29 21:18:08.996577-07"
16454,483,2,742,"6.99","2020-01-29 00:04:56.996577-07"
16455,484,2,35,"4.99","2020-01-24 19:53:02.996577-07"
16456,484,2,668,"2.99","2020-01-28 13:23:11.996577-07"
16457,484,2,727,"2.99","2020-01-28 21:36:41.996577-07"
16458,485,1,1009,"2.99","2020-01-30 17:16:01.996577-07"
16459,486,1,909,"8.99","2020-01-30 02:12:04.996577-07"
16460,486,2,946,"2.99","2020-01-30 07:03:34.996577-07"
16461,486,2,1129,"0.99","2020-01-31 09:29:14.996577-07"
16462,489,1,219,"4.99","2020-01-26 01:10:11.996577-07"
16463,489,2,513,"2.99","2020-01-27 18:36:36.996577-07"
16464,490,2,585,"6.99","2020-01-28 03:19:11.996577-07"
16465,490,2,676,"4.99","2020-01-28 13:56:17.996577-07"
16466,491,1,484,"2.99","2020-01-27 14:55:11.996577-07"
16467,491,2,1097,"0.99","2020-01-31 05:07:08.996577-07"
16468,492,1,84,"2.99","2020-01-25 04:04:56.996577-07"
16469,493,1,543,"7.99","2020-01-27 22:12:00.996577-07"
