"actor_id","film_id","last_update"
4,62,"2020-02-15 03:05:03-07"
4,79,"2020-02-15 03:05:03-07"
4,87,"2020-02-15 03:05:03-07"
4,355,"2020-02-15 03:05:03-07"
4,379,"2020-02-15 03:05:03-07"
4,398,"2020-02-15 03:05:03-07"
4,463,"2020-02-15 03:05:03-07"
4,490,"2020-02-15 03:05:03-07"
4,616,"2020-02-15 03:05:03-07"
4,635,"2020-02-15 03:05:03-07"
4,691,"2020-02-15 03:05:03-07"
4,712,"2020-02-15 03:05:03-07"
4,714,"2020-02-15 03:05:03-07"
4,721,"2020-02-15 03:05:03-07"
4,798,"2020-02-15 03:05:03-07"
4,832,"2020-02-15 03:05:03-07"
4,858,"2020-02-15 03:05:03-07"
4,909,"2020-02-15 03:05:03-07"
4,924,"2020-02-15 03:05:03-07"
5,19,"2020-02-15 03:05:03-07"
5,54,"2020-02-15 03:05:03-07"
5,85,"2020-02-15 03:05:03-07"
5,146,"2020-02-15 03:05:03-07"
5,171,"2020-02-15 03:05:03-07"
5,172,"2020-02-15 03:05:03-07"
5,202,"2020-02-15 03:05:03-07"
5,203,"2020-02-15 03:05:03-07"
5,286,"2020-02-15 03:05:03-07"
5,288,"2020-02-15 03:05:03-07"
5,316,"2020-02-15 03:05:03-07"
5,340,"2020-02-15 03:05:03-07"
5,369,"2020-02-15 03:05:03-07"
5,375,"2020-02-15 03:05:03-07"
5,383,"2020-02-15 03:05:03-07"
5,392,"2020-02-15 03:05:03-07"
5,411,"2020-02-15 03:05:03-07"
5,503,"2020-02-15 03:05:03-07"
5,535,"2020-02-15 03:05:03-07"
5,571,"2020-02-15 03:05:03-07"
5,650,"2020-02-15 03:05:03-07"
5,665,"2020-02-15 03:05:03-07"
5,687,"2020-02-15 03:05:03-07"
5,730,"2020-02-15 03:05:03-07"
5,732,"2020-02-15 03:05:03-07"
5,811,"2020-02-15 03:05:03-07"
5,817,"2020-02-15 03:05:03-07"
5,841,"2020-02-15 03:05:03-07"
5,865,"2020-02-15 03:05:03-07"
6,29,"2020-02-15 03:05:03-07"
6,53,"2020-02-15 03:05:03-07"
6,60,"2020-02-15 03:05:03-07"
6,70,"2020-02-15 03:05:03-07"
6,112,"2020-02-15 03:05:03-07"
6,164,"2020-02-15 03:05:03-07"
6,165,"2020-02-15 03:05:03-07"
6,193,"2020-02-15 03:05:03-07"
6,256,"2020-02-15 03:05:03-07"
6,451,"2020-02-15 03:05:03-07"
6,503,"2020-02-15 03:05:03-07"
6,509,"2020-02-15 03:05:03-07"
6,517,"2020-02-15 03:05:03-07"
6,519,"2020-02-15 03:05:03-07"
6,605,"2020-02-15 03:05:03-07"
6,692,"2020-02-15 03:05:03-07"
6,826,"2020-02-15 03:05:03-07"
6,892,"2020-02-15 03:05:03-07"
6,902,"2020-02-15 03:05:03-07"
6,994,"2020-02-15 03:05:03-07"
7,25,"2020-02-15 03:05:03-07"
7,27,"2020-02-15 03:05:03-07"
7,35,"2020-02-15 03:05:03-07"
7,67,"2020-02-15 03:05:03-07"
7,96,"2020-02-15 03:05:03-07"
7,170,"2020-02-15 03:05:03-07"
7,173,"2020-02-15 03:05:03-07"
7,217,"2020-02-15 03:05:03-07"
7,218,"2020-02-15 03:05:03-07"
7,225,"2020-02-15 03:05:03-07"
7,292,"2020-02-15 03:05:03-07"
7,351,"2020-02-15 03:05:03-07"
7,414,"2020-02-15 03:05:03-07"
7,463,"2020-02-15 03:05:03-07"
7,554,"2020-02-15 03:05:03-07"
7,618,"2020-02-15 03:05:03-07"
7,633,"2020-02-15 03:05:03-07"
7,637,"2020-02-15 03:05:03-07"
7,691,"2020-02-15 03:05:03-07"
7,758,"2020-02-15 03:05:03-07"
7,766,"2020-02-15 03:05:03-07"
7,770,"2020-02-15 03:05:03-07"
7,805,"2020-02-15 03:05:03-07"
7,806,"2020-02-15 03:05:03-07"
7,846,"2020-02-15 03:05:03-07"
7,900,"2020-02-15 03:05:03-07"
7,901,"2020-02-15 03:05:03-07"
7,910,"2020-02-15 03:05:03-07"
7,957,"2020-02-15 03:05:03-07"
7,959,"2020-02-15 03:05:03-07"
8,47,"2020-02-15 03:05:03-07"
8,115,"2020-02-15 03:05:03-07"
8,158,"2020-02-15 03:05:03-07"
8,179,"2020-02-15 03:05:03-07"
8,195,"2020-02-15 03:05:03-07"
8,205,"2020-02-15 03:05:03-07"
8,255,"2020-02-15 03:05:03-07"
8,263,"2020-02-15 03:05:03-07"
8,321,"2020-02-15 03:05:03-07"
8,396,"2020-02-15 03:05:03-07"
8,458,"2020-02-15 03:05:03-07"
8,523,"2020-02-15 03:05:03-07"
8,532,"2020-02-15 03:05:03-07"
8,554,"2020-02-15 03:05:03-07"
8,752,"2020-02-15 03:05:03-07"
8,769,"2020-02-15 03:05:03-07"
8,771,"2020-02-15 03:05:03-07"
8,859,"2020-02-15 03:05:03-07"
8,895,"2020-02-15 03:05:03-07"
8,936,"2020-02-15 03:05:03-07"
9,30,"2020-02-15 03:05:03-07"
9,74,"2020-02-15 03:05:03-07"
9,147,"2020-02-15 03:05:03-07"
9,148,"2020-02-15 03:05:03-07"
9,191,"2020-02-15 03:05:03-07"
9,200,"2020-02-15 03:05:03-07"
9,204,"2020-02-15 03:05:03-07"
9,434,"2020-02-15 03:05:03-07"
9,510,"2020-02-15 03:05:03-07"
9,514,"2020-02-15 03:05:03-07"
9,552,"2020-02-15 03:05:03-07"
9,650,"2020-02-15 03:05:03-07"
9,671,"2020-02-15 03:05:03-07"
9,697,"2020-02-15 03:05:03-07"
9,722,"2020-02-15 03:05:03-07"
9,752,"2020-02-15 03:05:03-07"
9,811,"2020-02-15 03:05:03-07"
9,815,"2020-02-15 03:05:03-07"
9,865,"2020-02-15 03:05:03-07"
9,873,"2020-02-15 03:05:03-07"
9,889,"2020-02-15 03:05:03-07"
9,903,"2020-02-15 03:05:03-07"
9,926,"2020-02-15 03:05:03-07"
9,964,"2020-02-15 03:05:03-07"
9,974,"2020-02-15 03:05:03-07"
10,1,"2020-02-15 03:05:03-07"
10,9,"2020-02-15 03:05:03-07"
10,191,"2020-02-15 03:05:03-07"
10,236,"2020-02-15 03:05:03-07"
10,251,"2020-02-15 03:05:03-07"
10,366,"2020-02-15 03:05:03-07"
10,477,"2020-02-15 03:05:03-07"
10,480,"2020-02-15 03:05:03-07"
10,522,"2020-02-15 03:05:03-07"
10,530,"2020-02-15 03:05:03-07"
10,587,"2020-02-15 03:05:03-07"
10,694,"2020-02-15 03:05:03-07"
10,703,"2020-02-15 03:05:03-07"
10,716,"2020-02-15 03:05:03-07"
10,782,"2020-02-15 03:05:03-07"
10,914,"2020-02-15 03:05:03-07"
10,929,"2020-02-15 03:05:03-07"
10,930,"2020-02-15 03:05:03-07"
10,964,"2020-02-15 03:05:03-07"
10,966,"2020-02-15 03:05:03-07"
10,980,"2020-02-15 03:05:03-07"
10,983,"2020-02-15 03:05:03-07"
11,118,"2020-02-15 03:05:03-07"
11,205,"2020-02-15 03:05:03-07"
11,281,"2020-02-15 03:05:03-07"
11,283,"2020-02-15 03:05:03-07"
11,348,"2020-02-15 03:05:03-07"
11,364,"2020-02-15 03:05:03-07"
11,395,"2020-02-15 03:05:03-07"
11,429,"2020-02-15 03:05:03-07"
11,433,"2020-02-15 03:05:03-07"
11,453,"2020-02-15 03:05:03-07"
11,485,"2020-02-15 03:05:03-07"
11,532,"2020-02-15 03:05:03-07"
11,567,"2020-02-15 03:05:03-07"
11,587,"2020-02-15 03:05:03-07"
11,597,"2020-02-15 03:05:03-07"
11,636,"2020-02-15 03:05:03-07"
11,709,"2020-02-15 03:05:03-07"
11,850,"2020-02-15 03:05:03-07"
11,854,"2020-02-15 03:05:03-07"
11,888,"2020-02-15 03:05:03-07"
11,896,"2020-02-15 03:05:03-07"
11,928,"2020-02-15 03:05:03-07"
11,938,"2020-02-15 03:05:03-07"
11,969,"2020-02-15 03:05:03-07"
11,988,"2020-02-15 03:05:03-07"
12,16,"2020-02-15 03:05:03-07"
12,17,"2020-02-15 03:05:03-07"
12,34,"2020-02-15 03:05:03-07"
12,37,"2020-02-15 03:05:03-07"
12,91,"2020-02-15 03:05:03-07"
12,92,"2020-02-15 03:05:03-07"
12,107,"2020-02-15 03:05:03-07"
12,155,"2020-02-15 03:05:03-07"
12,177,"2020-02-15 03:05:03-07"
12,208,"2020-02-15 03:05:03-07"
12,213,"2020-02-15 03:05:03-07"
12,216,"2020-02-15 03:05:03-07"
12,243,"2020-02-15 03:05:03-07"
12,344,"2020-02-15 03:05:03-07"
12,400,"2020-02-15 03:05:03-07"
12,416,"2020-02-15 03:05:03-07"
12,420,"2020-02-15 03:05:03-07"
12,457,"2020-02-15 03:05:03-07"
12,513,"2020-02-15 03:05:03-07"
12,540,"2020-02-15 03:05:03-07"
12,593,"2020-02-15 03:05:03-07"
12,631,"2020-02-15 03:05:03-07"
12,635,"2020-02-15 03:05:03-07"
12,672,"2020-02-15 03:05:03-07"
12,716,"2020-02-15 03:05:03-07"
12,728,"2020-02-15 03:05:03-07"
12,812,"2020-02-15 03:05:03-07"
12,838,"2020-02-15 03:05:03-07"
12,871,"2020-02-15 03:05:03-07"
12,880,"2020-02-15 03:05:03-07"
12,945,"2020-02-15 03:05:03-07"
13,17,"2020-02-15 03:05:03-07"
13,29,"2020-02-15 03:05:03-07"
13,45,"2020-02-15 03:05:03-07"
13,87,"2020-02-15 03:05:03-07"
13,110,"2020-02-15 03:05:03-07"
13,144,"2020-02-15 03:05:03-07"
13,154,"2020-02-15 03:05:03-07"
13,162,"2020-02-15 03:05:03-07"
13,203,"2020-02-15 03:05:03-07"
13,254,"2020-02-15 03:05:03-07"
13,337,"2020-02-15 03:05:03-07"
13,346,"2020-02-15 03:05:03-07"
13,381,"2020-02-15 03:05:03-07"
13,385,"2020-02-15 03:05:03-07"
13,427,"2020-02-15 03:05:03-07"
13,456,"2020-02-15 03:05:03-07"
13,513,"2020-02-15 03:05:03-07"
13,515,"2020-02-15 03:05:03-07"
13,522,"2020-02-15 03:05:03-07"
13,524,"2020-02-15 03:05:03-07"
13,528,"2020-02-15 03:05:03-07"
13,571,"2020-02-15 03:05:03-07"
13,588,"2020-02-15 03:05:03-07"
13,597,"2020-02-15 03:05:03-07"
13,600,"2020-02-15 03:05:03-07"
13,718,"2020-02-15 03:05:03-07"
13,729,"2020-02-15 03:05:03-07"
13,816,"2020-02-15 03:05:03-07"
13,817,"2020-02-15 03:05:03-07"
13,832,"2020-02-15 03:05:03-07"
13,833,"2020-02-15 03:05:03-07"
13,843,"2020-02-15 03:05:03-07"
13,897,"2020-02-15 03:05:03-07"
13,966,"2020-02-15 03:05:03-07"
13,998,"2020-02-15 03:05:03-07"
14,154,"2020-02-15 03:05:03-07"
14,187,"2020-02-15 03:05:03-07"
14,232,"2020-02-15 03:05:03-07"
14,241,"2020-02-15 03:05:03-07"
14,253,"2020-02-15 03:05:03-07"
14,255,"2020-02-15 03:05:03-07"
14,258,"2020-02-15 03:05:03-07"
14,284,"2020-02-15 03:05:03-07"
14,292,"2020-02-15 03:05:03-07"
14,370,"2020-02-15 03:05:03-07"
14,415,"2020-02-15 03:05:03-07"
14,417,"2020-02-15 03:05:03-07"
14,418,"2020-02-15 03:05:03-07"
14,454,"2020-02-15 03:05:03-07"
14,472,"2020-02-15 03:05:03-07"
14,475,"2020-02-15 03:05:03-07"
14,495,"2020-02-15 03:05:03-07"
14,536,"2020-02-15 03:05:03-07"
14,537,"2020-02-15 03:05:03-07"
14,612,"2020-02-15 03:05:03-07"
14,688,"2020-02-15 03:05:03-07"
14,759,"2020-02-15 03:05:03-07"
14,764,"2020-02-15 03:05:03-07"
14,847,"2020-02-15 03:05:03-07"
14,856,"2020-02-15 03:05:03-07"
14,890,"2020-02-15 03:05:03-07"
14,908,"2020-02-15 03:05:03-07"
14,919,"2020-02-15 03:05:03-07"
14,948,"2020-02-15 03:05:03-07"
14,970,"2020-02-15 03:05:03-07"
15,31,"2020-02-15 03:05:03-07"
15,89,"2020-02-15 03:05:03-07"
15,91,"2020-02-15 03:05:03-07"
15,108,"2020-02-15 03:05:03-07"
15,125,"2020-02-15 03:05:03-07"
15,236,"2020-02-15 03:05:03-07"
15,275,"2020-02-15 03:05:03-07"
15,280,"2020-02-15 03:05:03-07"
15,326,"2020-02-15 03:05:03-07"
15,342,"2020-02-15 03:05:03-07"
15,414,"2020-02-15 03:05:03-07"
15,445,"2020-02-15 03:05:03-07"
15,500,"2020-02-15 03:05:03-07"
15,502,"2020-02-15 03:05:03-07"
15,541,"2020-02-15 03:05:03-07"
15,553,"2020-02-15 03:05:03-07"
15,594,"2020-02-15 03:05:03-07"
15,626,"2020-02-15 03:05:03-07"
15,635,"2020-02-15 03:05:03-07"
15,745,"2020-02-15 03:05:03-07"
15,783,"2020-02-15 03:05:03-07"
15,795,"2020-02-15 03:05:03-07"
15,817,"2020-02-15 03:05:03-07"
15,886,"2020-02-15 03:05:03-07"
15,924,"2020-02-15 03:05:03-07"
15,949,"2020-02-15 03:05:03-07"
15,968,"2020-02-15 03:05:03-07"
15,985,"2020-02-15 03:05:03-07"
16,80,"2020-02-15 03:05:03-07"
16,87,"2020-02-15 03:05:03-07"
16,101,"2020-02-15 03:05:03-07"
16,121,"2020-02-15 03:05:03-07"
16,155,"2020-02-15 03:05:03-07"
16,177,"2020-02-15 03:05:03-07"
16,218,"2020-02-15 03:05:03-07"
16,221,"2020-02-15 03:05:03-07"
16,267,"2020-02-15 03:05:03-07"
16,269,"2020-02-15 03:05:03-07"
16,271,"2020-02-15 03:05:03-07"
16,280,"2020-02-15 03:05:03-07"
16,287,"2020-02-15 03:05:03-07"
16,345,"2020-02-15 03:05:03-07"
16,438,"2020-02-15 03:05:03-07"
16,453,"2020-02-15 03:05:03-07"
16,455,"2020-02-15 03:05:03-07"
16,456,"2020-02-15 03:05:03-07"
16,503,"2020-02-15 03:05:03-07"
16,548,"2020-02-15 03:05:03-07"
16,582,"2020-02-15 03:05:03-07"
16,583,"2020-02-15 03:05:03-07"
16,717,"2020-02-15 03:05:03-07"
16,758,"2020-02-15 03:05:03-07"
16,779,"2020-02-15 03:05:03-07"
16,886,"2020-02-15 03:05:03-07"
16,967,"2020-02-15 03:05:03-07"
17,96,"2020-02-15 03:05:03-07"
17,119,"2020-02-15 03:05:03-07"
17,124,"2020-02-15 03:05:03-07"
17,127,"2020-02-15 03:05:03-07"
17,154,"2020-02-15 03:05:03-07"
17,199,"2020-02-15 03:05:03-07"
17,201,"2020-02-15 03:05:03-07"
17,236,"2020-02-15 03:05:03-07"
17,280,"2020-02-15 03:05:03-07"
17,310,"2020-02-15 03:05:03-07"
17,313,"2020-02-15 03:05:03-07"
17,378,"2020-02-15 03:05:03-07"
17,457,"2020-02-15 03:05:03-07"
17,469,"2020-02-15 03:05:03-07"
17,478,"2020-02-15 03:05:03-07"
17,500,"2020-02-15 03:05:03-07"
17,515,"2020-02-15 03:05:03-07"
17,521,"2020-02-15 03:05:03-07"
17,573,"2020-02-15 03:05:03-07"
17,603,"2020-02-15 03:05:03-07"
17,606,"2020-02-15 03:05:03-07"
17,734,"2020-02-15 03:05:03-07"
17,770,"2020-02-15 03:05:03-07"
17,794,"2020-02-15 03:05:03-07"
17,800,"2020-02-15 03:05:03-07"
17,853,"2020-02-15 03:05:03-07"
17,873,"2020-02-15 03:05:03-07"
17,874,"2020-02-15 03:05:03-07"
17,880,"2020-02-15 03:05:03-07"
17,948,"2020-02-15 03:05:03-07"
17,957,"2020-02-15 03:05:03-07"
17,959,"2020-02-15 03:05:03-07"
18,44,"2020-02-15 03:05:03-07"
18,84,"2020-02-15 03:05:03-07"
18,144,"2020-02-15 03:05:03-07"
18,172,"2020-02-15 03:05:03-07"
18,268,"2020-02-15 03:05:03-07"
18,279,"2020-02-15 03:05:03-07"
18,280,"2020-02-15 03:05:03-07"
18,321,"2020-02-15 03:05:03-07"
18,386,"2020-02-15 03:05:03-07"
18,460,"2020-02-15 03:05:03-07"
18,462,"2020-02-15 03:05:03-07"
18,484,"2020-02-15 03:05:03-07"
18,536,"2020-02-15 03:05:03-07"
18,561,"2020-02-15 03:05:03-07"
18,612,"2020-02-15 03:05:03-07"
18,717,"2020-02-15 03:05:03-07"
18,808,"2020-02-15 03:05:03-07"
18,842,"2020-02-15 03:05:03-07"
18,863,"2020-02-15 03:05:03-07"
18,883,"2020-02-15 03:05:03-07"
18,917,"2020-02-15 03:05:03-07"
18,944,"2020-02-15 03:05:03-07"
19,2,"2020-02-15 03:05:03-07"
19,3,"2020-02-15 03:05:03-07"
19,144,"2020-02-15 03:05:03-07"
19,152,"2020-02-15 03:05:03-07"
19,182,"2020-02-15 03:05:03-07"
19,208,"2020-02-15 03:05:03-07"
19,212,"2020-02-15 03:05:03-07"
19,217,"2020-02-15 03:05:03-07"
19,266,"2020-02-15 03:05:03-07"
19,404,"2020-02-15 03:05:03-07"
19,428,"2020-02-15 03:05:03-07"
19,473,"2020-02-15 03:05:03-07"
19,490,"2020-02-15 03:05:03-07"
19,510,"2020-02-15 03:05:03-07"
19,513,"2020-02-15 03:05:03-07"
19,644,"2020-02-15 03:05:03-07"
19,670,"2020-02-15 03:05:03-07"
19,673,"2020-02-15 03:05:03-07"
19,711,"2020-02-15 03:05:03-07"
19,750,"2020-02-15 03:05:03-07"
19,752,"2020-02-15 03:05:03-07"
19,756,"2020-02-15 03:05:03-07"
19,771,"2020-02-15 03:05:03-07"
19,785,"2020-02-15 03:05:03-07"
19,877,"2020-02-15 03:05:03-07"
20,1,"2020-02-15 03:05:03-07"
20,54,"2020-02-15 03:05:03-07"
20,63,"2020-02-15 03:05:03-07"
20,140,"2020-02-15 03:05:03-07"
20,146,"2020-02-15 03:05:03-07"
20,165,"2020-02-15 03:05:03-07"
20,231,"2020-02-15 03:05:03-07"
20,243,"2020-02-15 03:05:03-07"
20,269,"2020-02-15 03:05:03-07"
20,274,"2020-02-15 03:05:03-07"
20,348,"2020-02-15 03:05:03-07"
20,366,"2020-02-15 03:05:03-07"
20,445,"2020-02-15 03:05:03-07"
20,478,"2020-02-15 03:05:03-07"
20,492,"2020-02-15 03:05:03-07"
20,499,"2020-02-15 03:05:03-07"
20,527,"2020-02-15 03:05:03-07"
20,531,"2020-02-15 03:05:03-07"
20,538,"2020-02-15 03:05:03-07"
20,589,"2020-02-15 03:05:03-07"
20,643,"2020-02-15 03:05:03-07"
20,652,"2020-02-15 03:05:03-07"
20,663,"2020-02-15 03:05:03-07"
20,714,"2020-02-15 03:05:03-07"
20,717,"2020-02-15 03:05:03-07"
20,757,"2020-02-15 03:05:03-07"
20,784,"2020-02-15 03:05:03-07"
20,863,"2020-02-15 03:05:03-07"
20,962,"2020-02-15 03:05:03-07"
20,977,"2020-02-15 03:05:03-07"
21,6,"2020-02-15 03:05:03-07"
21,87,"2020-02-15 03:05:03-07"
21,88,"2020-02-15 03:05:03-07"
21,142,"2020-02-15 03:05:03-07"
21,159,"2020-02-15 03:05:03-07"
21,179,"2020-02-15 03:05:03-07"
21,253,"2020-02-15 03:05:03-07"
21,281,"2020-02-15 03:05:03-07"
21,321,"2020-02-15 03:05:03-07"
21,398,"2020-02-15 03:05:03-07"
21,426,"2020-02-15 03:05:03-07"
21,429,"2020-02-15 03:05:03-07"
21,497,"2020-02-15 03:05:03-07"
21,507,"2020-02-15 03:05:03-07"
21,530,"2020-02-15 03:05:03-07"
21,680,"2020-02-15 03:05:03-07"
21,686,"2020-02-15 03:05:03-07"
21,700,"2020-02-15 03:05:03-07"
21,702,"2020-02-15 03:05:03-07"
21,733,"2020-02-15 03:05:03-07"
21,734,"2020-02-15 03:05:03-07"
21,798,"2020-02-15 03:05:03-07"
21,804,"2020-02-15 03:05:03-07"
21,887,"2020-02-15 03:05:03-07"
21,893,"2020-02-15 03:05:03-07"
21,920,"2020-02-15 03:05:03-07"
21,983,"2020-02-15 03:05:03-07"
22,9,"2020-02-15 03:05:03-07"
22,23,"2020-02-15 03:05:03-07"
22,56,"2020-02-15 03:05:03-07"
22,89,"2020-02-15 03:05:03-07"
22,111,"2020-02-15 03:05:03-07"
22,146,"2020-02-15 03:05:03-07"
22,291,"2020-02-15 03:05:03-07"
22,294,"2020-02-15 03:05:03-07"
22,349,"2020-02-15 03:05:03-07"
22,369,"2020-02-15 03:05:03-07"
22,418,"2020-02-15 03:05:03-07"
22,430,"2020-02-15 03:05:03-07"
22,483,"2020-02-15 03:05:03-07"
22,491,"2020-02-15 03:05:03-07"
22,495,"2020-02-15 03:05:03-07"
22,536,"2020-02-15 03:05:03-07"
22,600,"2020-02-15 03:05:03-07"
22,634,"2020-02-15 03:05:03-07"
22,648,"2020-02-15 03:05:03-07"
22,688,"2020-02-15 03:05:03-07"
22,731,"2020-02-15 03:05:03-07"
22,742,"2020-02-15 03:05:03-07"
22,775,"2020-02-15 03:05:03-07"
22,802,"2020-02-15 03:05:03-07"
22,912,"2020-02-15 03:05:03-07"
22,964,"2020-02-15 03:05:03-07"
23,6,"2020-02-15 03:05:03-07"
23,42,"2020-02-15 03:05:03-07"
23,78,"2020-02-15 03:05:03-07"
23,105,"2020-02-15 03:05:03-07"
23,116,"2020-02-15 03:05:03-07"
23,117,"2020-02-15 03:05:03-07"
23,125,"2020-02-15 03:05:03-07"
23,212,"2020-02-15 03:05:03-07"
23,226,"2020-02-15 03:05:03-07"
23,235,"2020-02-15 03:05:03-07"
23,254,"2020-02-15 03:05:03-07"
23,367,"2020-02-15 03:05:03-07"
23,370,"2020-02-15 03:05:03-07"
23,414,"2020-02-15 03:05:03-07"
23,419,"2020-02-15 03:05:03-07"
23,435,"2020-02-15 03:05:03-07"
23,449,"2020-02-15 03:05:03-07"
23,491,"2020-02-15 03:05:03-07"
23,536,"2020-02-15 03:05:03-07"
23,549,"2020-02-15 03:05:03-07"
23,636,"2020-02-15 03:05:03-07"
23,649,"2020-02-15 03:05:03-07"
23,673,"2020-02-15 03:05:03-07"
23,691,"2020-02-15 03:05:03-07"
23,766,"2020-02-15 03:05:03-07"
23,782,"2020-02-15 03:05:03-07"
23,804,"2020-02-15 03:05:03-07"
23,820,"2020-02-15 03:05:03-07"
23,826,"2020-02-15 03:05:03-07"
23,833,"2020-02-15 03:05:03-07"
23,842,"2020-02-15 03:05:03-07"
23,853,"2020-02-15 03:05:03-07"
23,855,"2020-02-15 03:05:03-07"
23,856,"2020-02-15 03:05:03-07"
23,935,"2020-02-15 03:05:03-07"
23,981,"2020-02-15 03:05:03-07"
23,997,"2020-02-15 03:05:03-07"
24,3,"2020-02-15 03:05:03-07"
24,83,"2020-02-15 03:05:03-07"
24,112,"2020-02-15 03:05:03-07"
24,126,"2020-02-15 03:05:03-07"
24,148,"2020-02-15 03:05:03-07"
24,164,"2020-02-15 03:05:03-07"
24,178,"2020-02-15 03:05:03-07"
24,194,"2020-02-15 03:05:03-07"
24,199,"2020-02-15 03:05:03-07"
24,242,"2020-02-15 03:05:03-07"
24,256,"2020-02-15 03:05:03-07"
24,277,"2020-02-15 03:05:03-07"
24,335,"2020-02-15 03:05:03-07"
24,405,"2020-02-15 03:05:03-07"
24,463,"2020-02-15 03:05:03-07"
24,515,"2020-02-15 03:05:03-07"
24,585,"2020-02-15 03:05:03-07"
24,603,"2020-02-15 03:05:03-07"
24,653,"2020-02-15 03:05:03-07"
24,704,"2020-02-15 03:05:03-07"
24,781,"2020-02-15 03:05:03-07"
24,829,"2020-02-15 03:05:03-07"
24,832,"2020-02-15 03:05:03-07"
24,969,"2020-02-15 03:05:03-07"
25,21,"2020-02-15 03:05:03-07"
25,86,"2020-02-15 03:05:03-07"
25,153,"2020-02-15 03:05:03-07"
25,179,"2020-02-15 03:05:03-07"
25,204,"2020-02-15 03:05:03-07"
25,213,"2020-02-15 03:05:03-07"
25,226,"2020-02-15 03:05:03-07"
25,245,"2020-02-15 03:05:03-07"
25,311,"2020-02-15 03:05:03-07"
25,404,"2020-02-15 03:05:03-07"
25,411,"2020-02-15 03:05:03-07"
25,420,"2020-02-15 03:05:03-07"
25,538,"2020-02-15 03:05:03-07"
25,564,"2020-02-15 03:05:03-07"
25,583,"2020-02-15 03:05:03-07"
25,606,"2020-02-15 03:05:03-07"
25,688,"2020-02-15 03:05:03-07"
25,697,"2020-02-15 03:05:03-07"
25,755,"2020-02-15 03:05:03-07"
25,871,"2020-02-15 03:05:03-07"
25,914,"2020-02-15 03:05:03-07"
26,9,"2020-02-15 03:05:03-07"
26,21,"2020-02-15 03:05:03-07"
26,34,"2020-02-15 03:05:03-07"
26,90,"2020-02-15 03:05:03-07"
26,93,"2020-02-15 03:05:03-07"
26,103,"2020-02-15 03:05:03-07"
26,147,"2020-02-15 03:05:03-07"
26,186,"2020-02-15 03:05:03-07"
26,201,"2020-02-15 03:05:03-07"
26,225,"2020-02-15 03:05:03-07"
26,241,"2020-02-15 03:05:03-07"
